0.31
lambda flux err
2406.019638688732 0 0
2406.409928131751 0 0
2406.80021757477 0 0
2407.190507017789 0 0
2407.580796460808 0 0
2407.971085903827 0 0
2408.361375346846 0 0
2408.751664789866 0 0
2409.141954232884 0 0
2409.532243675904 0 0
2409.922533118923 0 0
2410.312822561943 0 0
2410.703112004961 0 0
2411.09340144798 0 0
2411.483690890999 0 0
2411.873980334018 0 0
2412.264269777038 0 0
2412.654559220056 0 0
2413.044848663075 0 0
2413.435138106094 0 0
2413.825427549114 0 0
2414.215716992133 0 0
2414.606006435152 0 0
2414.996295878171 0 0
2415.38658532119 0 0
2415.776874764209 0 0
2416.167164207229 0 0
2416.557453650247 0 0
2416.947743093267 0 0
2417.338032536285 0 0
2417.728321979304 0 0
2418.118611422324 0 0
2418.508900865343 0 0
2418.899190308362 0 0
2419.289479751381 0 0
2419.6797691944 0 0
2420.070058637419 0 0
2420.460348080438 0 0
2420.850637523457 0 0
2421.240926966476 0 0
2421.631216409495 0 0
2422.021505852515 0 0
2422.411795295533 0 0
2422.802084738553 0 0
2423.192374181572 0 0
2423.582663624591 0 0
2423.97295306761 0 0
2424.363242510629 0 0
2424.753531953648 0 0
2425.143821396668 0 0
2425.534110839687 0 0
2425.924400282706 0 0
2426.314689725725 0 0
2426.704979168743 0 0
2427.095268611763 0 0
2427.485558054782 0 0
2427.875847497801 0 0
2428.26613694082 0 0
2428.65642638384 0 0
2429.046715826858 0 0
2429.437005269877 0 0
2429.827294712896 0 0
2430.217584155915 0 0
2430.607873598935 0 0
2430.998163041954 0 0
2431.388452484973 0 0
2431.778741927992 0 0
2432.169031371011 0 0
2432.55932081403 0 0
2432.94961025705 0 0
2433.339899700068 0 0
2433.730189143087 0 0
2434.120478586107 0 0
2434.510768029125 0 0
2434.901057472145 0 0
2435.291346915164 0 0
2435.681636358183 0 0
2436.071925801202 0 0
2436.46221524422 0 0
2436.85250468724 0 0
2437.242794130259 0 0
2437.633083573279 3.84474 1.44799
2438.023373016297 8.44164 2.1222
2438.413662459316 10.6126 2.32765
2438.803951902336 15.6601 2.58945
2439.194241345354 12.7349 2.54344
2439.584530788374 16.7071 2.69523
2439.974820231393 14.515 2.70038
2440.365109674412 10.9112 2.34392
2440.755399117431 10.7244 2.38032
2441.14568856045 14.1915 2.62351
2441.535978003469 10.0416 2.30009
2441.926267446488 8.24166 2.24145
2442.316556889508 7.93096 2.23448
2442.706846332526 8.70924 2.31008
2443.097135775545 10.8677 2.44758
2443.487425218565 11.1014 2.50539
2443.877714661583 9.31675 2.36614
2444.268004104603 11.719 2.53989
2444.658293547622 9.60709 2.39246
2445.04858299064 10.673 2.48251
2445.43887243366 8.3321 2.33891
2445.829161876679 7.77659 2.27156
2446.219451319698 8.51139 2.34317
2446.609740762717 8.38026 2.33554
2447.000030205737 8.97284 2.41686
2447.390319648755 7.60557 2.3071
2447.780609091775 6.07885 2.23454
2448.170898534793 7.16654 2.27156
2448.561187977813 7.82775 2.31429
2448.951477420832 5.33061 2.14872
2449.341766863851 6.97326 2.25717
2449.73205630687 7.31735 2.23952
2450.122345749889 8.45175 2.43951
2450.512635192908 8.32933 2.36854
2450.902924635927 8.86721 2.38099
2451.293214078946 6.90253 2.22156
2451.683503521966 8.95365 2.30805
2452.073792964985 11.1992 2.58939
2452.464082408004 11.0428 2.50669
2452.854371851023 7.7728 2.32928
2453.244661294042 8.09181 2.2821
2453.634950737061 5.74311 1.55668
2454.02524018008 7.63884 1.57567
2454.415529623099 9.70471 1.74816
