0.45
lambda flux err
2406.085868649401 0 0
2406.476167783045 0 0
2406.866466916688 0 0
2407.256766050333 0 0
2407.647065183975 0 0
2408.037364317619 0 0
2408.427663451263 0 0
2408.817962584906 0 0
2409.20826171855 0 0
2409.598560852193 0 0
2409.988859985837 0 0
2410.37915911948 0 0
2410.769458253124 0 0
2411.159757386767 0 0
2411.550056520411 0 0
2411.940355654054 0 0
2412.330654787698 0 0
2412.720953921341 0 0
2413.111253054985 0 0
2413.501552188628 0 0
2413.891851322272 0 0
2414.282150455915 0 0
2414.672449589559 0 0
2415.062748723202 0 0
2415.453047856845 0 0
2415.843346990489 0 0
2416.233646124132 0 0
2416.623945257777 0 0
2417.014244391419 0 0
2417.404543525064 0 0
2417.794842658707 0 0
2418.18514179235 0 0
2418.575440925994 0 0
2418.965740059637 0 0
2419.356039193281 0 0
2419.746338326924 0 0
2420.136637460568 0 0
2420.526936594211 0 0
2420.917235727854 0 0
2421.307534861498 0 0
2421.697833995142 0 0
2422.088133128785 0 0
2422.478432262429 0 0
2422.868731396072 0 0
2423.259030529716 0 0
2423.649329663359 0 0
2424.039628797003 0 0
2424.429927930646 0 0
2424.82022706429 0 0
2425.210526197933 0 0
2425.600825331577 0 0
2425.99112446522 0 0
2426.381423598863 0 0
2426.771722732507 0 0
2427.16202186615 0 0
2427.552320999794 0 0
2427.942620133438 0 0
2428.332919267081 0 0
2428.723218400724 0 0
2429.113517534368 0 0
2429.503816668011 0 0
2429.894115801655 0 0
2430.284414935298 0 0
2430.674714068942 0 0
2431.065013202586 0 0
2431.455312336229 0 0
2431.845611469873 0 0
2432.235910603516 0 0
2432.62620973716 0 0
2433.016508870803 0 0
2433.406808004447 0 0
2433.79710713809 0 0
2434.187406271733 0 0
2434.577705405377 0 0
2434.96800453902 0 0
2435.358303672664 0 0
2435.748602806308 0 0
2436.138901939951 0 0
2436.529201073595 0 0
2436.919500207238 0 0
2437.309799340882 0 0
2437.700098474525 0 0
2438.090397608169 0 0
2438.480696741812 0 0
2438.870995875456 6.91825 2.07176
2439.261295009099 6.40727 2.12917
2439.651594142743 8.53448 2.30436
2440.041893276386 10.4395 2.51903
2440.43219241003 7.14143 2.16847
2440.822491543673 3.58569 1.80279
2441.212790677317 6.19014 2.11571
2441.60308981096 6.56606 2.14898
2441.993388944604 5.29258 2.03206
2442.383688078247 5.80499 2.12167
2442.773987211891 7.11732 2.24168
2443.164286345534 5.87086 2.12062
2443.554585479178 6.96425 2.25364
2443.944884612821 8.44955 2.40315
2444.335183746464 5.44585 2.09246
2444.725482880108 6.65269 2.25104
2445.115782013752 8.37174 2.44137
2445.506081147395 4.68294 2.07245
2445.896380281039 4.69621 2.05261
2446.286679414683 4.94482 2.09188
2446.676978548326 3.01473 1.90229
2447.067277681969 3.29712 1.97309
2447.457576815612 5.6472 2.21224
2447.847875949256 3.27326 1.99136
2448.2381750829 5.21537 2.19285
2448.628474216543 3.32835 1.97818
2449.018773350187 2.7157 1.94581
2449.40907248383 4.60237 2.13869
2449.799371617473 5.59533 2.19417
2450.189670751117 4.39883 2.13237
2450.57996988476 4.87499 2.18743
2450.970269018404 2.61926 1.92863
2451.360568152048 3.89608 2.06029
2451.750867285691 3.64882 2.01028
2452.141166419334 3.47972 2.03629
2452.531465552978 2.34623 1.90427
2452.921764686621 2.22926 1.91565
2453.312063820265 4.73569 2.14134
2453.702362953908 6.27162 2.27616
2454.092662087552 4.02492 2.02056
2454.482961221196 2.43796 1.88555
2454.873260354839 6.09777 2.26739
2455.263559488482 3.97196 2.00242
2455.653858622126 1.94813 1.80211
2456.044157755769 3.64303 2.03809
2456.434456889413 4.33337 2.07563
2456.824756023057 2.25424 1.83458
2457.2150551567 3.49888 1.98479
2457.605354290343 4.61339 2.08014
2457.995653423987 3.90317 2.01047
2458.38595255763 3.58152 1.97443
2458.776251691274 4.80692 2.07776
2459.166550824918 3.53364 1.33726
2459.556849958561 4.32384 1.40333
2459.947149092205 5.42575 1.20945
2460.337448225848 5.42192 1.21004
2460.727747359491 4.74459 1.17675
2461.118046493135 3.26255 1.08221
2461.508345626779 4.16147 1.13327
2461.898644760422 5.52975 1.22405
2462.288943894065 4.43361 1.09616
2462.679243027709 4.13868 1.0862
2463.069542161352 5.02344 1.14607
2463.459841294996 4.69582 1.13722
2463.850140428639 5.0312 1.14954
2464.240439562283 3.83325 1.08211
2464.630738695926 3.69905 1.07859
2465.02103782957 4.13085 1.10661
2465.411336963213 5.1008 1.16019
2465.801636096857 3.14123 1.05911
2466.1919352305 4.72385 1.15202
2466.582234364144 4.44998 1.14311
2466.972533497787 3.9718 1.1241
2467.362832631431 2.27486 1.02486
2467.753131765074 3.43849 1.09549
2468.143430898718 2.96856 1.07405
2468.533730032362 3.23654 1.09437
2468.924029166005 2.60394 1.0645
2469.314328299649 2.44378 1.05425
2469.704627433292 4.04961 1.1404
2470.094926566936 4.43027 1.15331
2470.485225700579 4.46985 1.16983
2470.875524834222 1.76778 1.01089
2471.265823967866 1.17506 0.988394
2471.65612310151 3.41936 1.10135
2472.046422235153 3.29996 1.0862
2472.436721368796 3.68325 1.12023
2472.82702050244 3.43136 1.10404
2473.217319636084 3.87345 1.12656
2473.607618769727 4.155 1.14132
2473.997917903371 3.18139 1.09358
2474.388217037014 2.88894 1.07615
2474.778516170658 1.89144 1.00995
2475.168815304301 3.41467 1.09702
2475.559114437945 3.25984 1.09008
2475.949413571588 2.37261 1.03079
2476.339712705231 3.42462 1.0918
2476.730011838875 4.06934 1.12196
2477.120310972519 3.84374 1.12252
2477.510610106162 3.6098 1.1075
2477.900909239806 1.87956 0.86834
2478.291208373449 2.9955 0.910371
2478.681507507092 3.51037 0.939359
2479.071806640736 5.33303 0.936734
2479.462105774379 6.08162 0.949077
