1.24
lambda flux err
2406.114474669693 0 0
2406.50477298809 0 0
2406.895071306486 0 0
2407.285369624882 0 0
2407.675667943278 0 0
2408.065966261675 0 0
2408.456264580071 0 0
2408.846562898467 0 0
2409.236861216863 0 0
2409.627159535259 0 0
2410.017457853655 0 0
2410.407756172051 0 0
2410.798054490448 0 0
2411.188352808844 0 0
2411.57865112724 0 0
2411.968949445636 0 0
2412.359247764032 0 0
2412.749546082428 0 0
2413.139844400825 0 0
2413.530142719221 0 0
2413.920441037617 0 0
2414.310739356013 0 0
2414.701037674409 0 0
2415.091335992806 0 0
2415.481634311202 0 0
2415.871932629598 0 0
2416.262230947994 0 0
2416.65252926639 0 0
2417.042827584786 0 0
2417.433125903183 0 0
2417.823424221579 0 0
2418.213722539975 0 0
2418.604020858371 0 0
2418.994319176767 0 0
2419.384617495163 0 0
2419.77491581356 0 0
2420.165214131956 0 0
2420.555512450352 0 0
2420.945810768747 0 0
2421.336109087144 0 0
2421.72640740554 0 0
2422.116705723936 0 0
2422.507004042332 0 0
2422.897302360728 0 0
2423.287600679124 0 0
2423.677898997521 0 0
2424.068197315917 0 0
2424.458495634313 0 0
2424.848793952709 0 0
2425.239092271105 0 0
2425.629390589502 0 0
2426.019688907898 0 0
2426.409987226294 0 0
2426.80028554469 0 0
2427.190583863086 0 0
2427.580882181482 0 0
2427.971180499879 0 0
2428.361478818275 0 0
2428.751777136671 0 0
2429.142075455067 0 0
2429.532373773463 0 0
2429.922672091859 0 0
2430.312970410255 0 0
2430.703268728652 0 0
2431.093567047048 0 0
2431.483865365444 0 0
2431.87416368384 0 0
2432.264462002237 0 0
2432.654760320632 0 0
2433.045058639029 0 0
2433.435356957424 0 0
2433.825655275821 0 0
2434.215953594217 0 0
2434.606251912613 0 0
2434.996550231009 0 0
2435.386848549405 8.61599 2.09735
2435.777146867802 10.7724 2.26128
2436.167445186198 9.75231 2.20715
2436.557743504594 10.4763 2.2463
2436.94804182299 10.815 2.28879
2437.338340141386 11.0096 2.31558
2437.728638459782 9.48798 2.18483
2438.118936778179 5.3696 1.85544
2438.509235096575 9.69539 2.26232
2438.899533414971 7.6765 2.10244
2439.289831733367 6.30299 2.00009
2439.680130051763 6.42815 2.02636
2440.070428370159 6.18484 1.99163
2440.460726688555 8.23281 2.15117
2440.851025006952 8.47801 2.19776
2441.241323325348 7.71488 2.16457
2441.631621643744 5.9596 2.02589
2442.02191996214 7.11757 2.13047
2442.412218280536 13.1935 2.54951
2442.802516598933 10.7193 2.3978
2443.192814917329 7.05369 2.16019
2443.583113235725 7.51724 2.17903
2443.973411554121 8.15496 2.24523
2444.363709872517 9.83581 2.37849
2444.754008190913 10.7498 2.44017
2445.14430650931 8.61552 2.2865
2445.534604827706 7.0756 2.15426
2445.924903146102 6.49803 2.08365
2446.315201464498 8.12789 2.26481
2446.705499782894 10.3624 2.4224
2447.09579810129 5.1931 2.00734
2447.486096419687 9.3347 2.3135
2447.876394738083 9.01086 2.25464
2448.266693056479 8.33492 2.26762
2448.656991374875 5.8973 2.07358
2449.047289693271 9.43155 2.34197
2449.437588011667 6.84919 2.13733
2449.827886330064 8.55043 2.2613
2450.218184648459 5.82802 2.04433
2450.608482966855 8.09674 2.2121
2450.998781285251 7.60923 2.21116
2451.389079603648 6.97349 2.12812
2451.779377922044 4.91765 1.95641
2452.16967624044 1.93883 1.74243
2452.559974558836 5.00226 1.97086
2452.950272877232 3.7043 1.85542
2453.340571195629 6.75313 2.1326
2453.730869514025 5.77211 2.01781
2454.121167832421 5.8477 2.01934
2454.511466150817 6.47085 2.08133
2454.901764469213 5.16639 1.96035
2455.292062787609 4.37913 1.89736
2455.682361106006 8.75839 2.21836
2456.072659424402 10.32 2.32576
2456.462957742798 8.99282 1.55566
2456.853256061194 9.79882 1.61185
2457.24355437959 11.134 1.67196
2457.633852697986 11.1519 1.65859
2458.024151016383 6.64232 1.42763
2458.414449334779 9.30098 1.55539
2458.804747653175 9.05131 1.55398
2459.195045971571 9.48995 1.5793
2459.585344289967 9.95817 1.62543
2459.975642608364 8.07491 1.52
2460.365940926759 8.97694 1.5657
2460.756239245156 9.69226 1.6025
2461.146537563551 10.464 1.64205
2461.536835881948 8.56455 1.53583
2461.927134200344 9.42788 1.59079
2462.31743251874 7.58056 1.49919
2462.707730837136 8.23481 1.5332
2463.098029155533 7.60175 1.51471
2463.488327473929 8.81898 1.58149
2463.878625792325 8.59531 1.5773
2464.268924110721 8.74723 1.57939
2464.659222429117 7.82278 1.5235
2465.049520747513 6.13726 1.44249
2465.439819065909 6.6616 1.47261
2465.830117384306 7.53657 1.51832
2466.220415702702 6.97421 1.49921
2466.610714021098 7.60154 1.52121
2467.001012339494 6.85417 1.48396
2467.39131065789 7.33857 1.51215
2467.781608976286 8.5472 1.5791
2468.171907294683 8.18674 1.55307
2468.562205613079 8.2461 1.55659
2468.952503931475 8.15348 1.54859
2469.342802249871 5.71109 1.41978
2469.733100568267 5.29688 1.39793
2470.123398886663 8.06049 1.53706
2470.51369720506 6.98078 1.4835
2470.903995523456 5.46077 1.39359
2471.294293841852 5.98481 1.42031
2471.684592160248 8.5277 1.54656
2472.074890478644 8.72459 1.29739
2472.46518879704 8.14818 1.28271
2472.855487115437 7.19319 1.22453
2473.245785433833 6.11602 1.20341
2473.636083752229 7.86408 1.27672
2474.026382070625 8.02895 1.28345
2474.416680389021 8.83149 1.319
2474.806978707417 8.16338 1.28098
2475.197277025814 7.25991 1.24198
2475.58757534421 8.36828 1.29609
2475.977873662606 9.97273 1.36276
2476.368171981002 8.20351 1.28441
2476.758470299398 6.54105 1.20657
2477.148768617794 9.40214 1.33789
2477.539066936191 9.56677 1.34041
2477.929365254587 9.8541 1.35329
2478.319663572983 7.87986 1.27682
2478.709961891379 7.88787 1.27163
2479.100260209775 8.56147 1.29536
2479.490558528172 9.75302 1.35326
2479.880856846568 7.57634 1.25872
2480.271155164963 6.80026 1.22236
2480.661453483359 6.57702 1.20988
2481.051751801756 6.83541 1.22606
2481.442050120152 5.93844 1.18296
2481.832348438548 6.56296 1.21041
2482.222646756944 8.8725 1.30522
2482.61294507534 9.62303 1.33535
2483.003243393736 8.44211 1.29027
2483.393541712133 6.89805 1.2295
2483.783840030528 8.2141 1.27083
2484.174138348925 8.16195 1.2774
2484.564436667321 5.68451 1.15903
2484.954734985717 7.02704 1.22064
2485.345033304113 6.73596 1.21684
2485.73533162251 7.60264 1.23941
2486.125629940906 8.23633 1.27565
2486.515928259302 7.6878 1.24885
2486.906226577698 6.9132 1.21634
2487.296524896094 10.0061 1.34108
2487.686823214491 8.82301 1.29372
2488.077121532887 7.86199 1.25173
2488.467419851283 7.98369 1.25413
2488.857718169679 7.5173 1.23332
2489.248016488075 8.21533 1.25877
2489.638314806471 6.96651 1.19954
2490.028613124867 6.71396 1.20404
2490.418911443263 8.66109 1.2849
2490.80920976166 6.69654 1.19145
2491.199508080056 7.11991 1.21233
2491.589806398452 8.36863 1.26947
2491.980104716848 8.60513 1.28059
2492.370403035245 7.97698 1.2484
2492.76070135364 9.86255 1.32358
2493.150999672037 6.81678 1.1921
2493.541297990433 8.11793 1.24721
2493.931596308829 9.10069 1.29511
2494.321894627225 7.40813 1.21974
2494.712192945621 6.72039 1.19515
2495.102491264017 6.46935 1.18399
2495.492789582413 9.53781 1.30807
2495.88308790081 7.52147 1.21815
2496.273386219206 7.60092 1.2272
2496.663684537602 5.94637 1.15202
2497.053982855998 4.42707 1.08357
2497.444281174395 7.73654 1.22792
2497.83457949279 9.88603 1.31446
2498.224877811187 7.84463 1.23902
2498.615176129583 6.93576 1.191
2499.005474447979 7.59263 1.21329
2499.395772766375 7.87932 1.23514
2499.786071084771 7.08179 1.20719
2500.176369403168 7.10491 1.20285
2500.566667721563 7.95388 1.23876
2500.95696603996 9.95392 1.32395
2501.347264358356 8.65351 1.26887
2501.737562676752 6.32745 1.16685
2502.127860995148 7.6338 1.22923
2502.518159313544 9.15605 1.29138
2502.908457631941 8.10829 1.24575
2503.298755950337 5.49513 1.1331
2503.689054268733 6.0055 1.15425
2504.079352587129 6.80478 1.18598
2504.469650905525 7.47812 1.22015
2504.859949223922 5.62864 1.12808
2505.250247542318 5.48308 1.11984
2505.640545860713 9.09041 1.28216
2506.03084417911 8.68422 1.27079
2506.421142497506 7.93967 1.23348
2506.811440815903 9.53726 1.30065
2507.201739134298 9.50276 1.30571
2507.592037452694 8.29507 1.25123
2507.982335771091 9.31784 1.29207
2508.372634089486 8.76179 1.26275
2508.762932407883 7.10469 1.19
2509.153230726279 8.17098 1.23705
2509.543529044675 7.47841 1.21287
2509.933827363071 6.56066 1.17607
2510.324125681467 7.38517 1.21561
2510.714423999864 6.47723 1.16745
2511.104722318259 6.93337 1.19248
2511.495020636656 7.75756 1.21705
2511.885318955052 8.52553 1.24659
2512.275617273448 8.41801 1.24693
2512.665915591844 9.89721 1.30803
2513.05621391024 8.97547 1.27155
2513.446512228637 8.54278 1.25048
2513.836810547033 8.19141 1.23091
2514.227108865429 8.55835 1.25091
2514.617407183825 7.29783 1.1899
2515.007705502221 8.54927 1.24312
2515.398003820618 7.15865 1.18486
2515.788302139014 5.74764 1.12968
2516.178600457409 5.87922 1.12942
2516.568898775806 8.02377 1.22451
2516.959197094202 9.01447 1.2615
2517.349495412599 8.19317 1.22159
2517.739793730994 7.95923 1.21425
2518.13009204939 8.14894 1.22688
2518.520390367787 7.29735 1.19877
2518.910688686183 7.58006 1.20798
2519.300987004579 8.52857 1.2426
2519.691285322975 8.004 1.2263
2520.081583641372 6.31953 1.15056
2520.471881959767 7.26942 1.19043
2520.862180278164 8.03218 1.23296
2521.25247859656 6.11899 1.15266
2521.642776914956 5.48953 1.11849
2522.033075233352 4.85705 1.08634
2522.423373551748 3.01812 0.992993
2522.813671870144 2.07692 0.930344
2523.203970188541 2.3881 0.954533
2523.594268506937 3.16259 0.996636
2523.984566825333 1.79124 0.919171
2524.374865143729 2.90287 0.982488
2524.765163462125 4.01197 1.04606
2525.155461780522 5.562 1.11672
2525.545760098917 7.60232 1.20063
2525.936058417314 8.87636 1.25958
2526.32635673571 6.92633 1.17645
2526.716655054106 7.57099 1.19811
2527.106953372502 8.59979 1.24574
2527.497251690898 7.48821 1.19292
2527.887550009295 8.03161 1.21227
2528.277848327691 7.59643 1.19868
2528.668146646087 6.05068 1.13483
2529.058444964483 5.70695 1.11668
2529.448743282879 7.35207 1.17943
2529.839041601275 7.76694 1.19965
2530.229339919671 7.39032 1.18364
2530.619638238068 7.62568 1.19044
2531.009936556464 8.53681 1.23441
2531.40023487486 8.14384 1.21717
2531.790533193256 9.22569 1.26493
2532.180831511652 9.14218 1.26422
2532.571129830049 8.75058 1.24195
2532.961428148445 9.19261 1.2601
2533.351726466841 6.46849 1.14424
2533.742024785237 6.79786 1.15684
2534.132323103633 7.4638 1.19282
2534.52262142203 9.66483 1.28665
2534.912919740425 8.88509 1.24948
2535.303218058821 9.33216 1.27161
2535.693516377218 9.46782 1.26458
2536.083814695614 7.40008 1.18831
2536.47411301401 7.79491 1.21384
2536.864411332406 8.12204 1.21727
2537.254709650802 7.62228 1.19985
2537.645007969199 8.38242 1.23962
2538.035306287595 8.29085 1.22992
2538.425604605991 6.11509 1.12758
2538.815902924387 4.54418 1.05762
2539.206201242783 5.34796 1.09512
2539.596499561179 6.47022 1.14694
2539.986797879575 7.87896 1.21479
2540.377096197971 9.16603 1.26294
2540.767394516367 8.47034 1.22939
2541.157692834764 8.23188 1.22093
2541.54799115316 9.16815 1.26381
2541.938289471556 9.58079 1.28548
2542.328587789952 8.13058 1.22478
2542.718886108348 7.28988 1.1928
2543.109184426745 7.50858 1.2073
2543.499482745141 8.95514 1.26045
2543.889781063536 7.8862 1.2111
2544.280079381933 7.47861 1.19719
2544.670377700329 8.52526 1.23997
2545.060676018726 8.00875 1.22172
2545.450974337121 9.15865 1.26225
2545.841272655517 7.66198 1.20415
2546.231570973914 7.38214 1.1992
2546.62186929231 9.17762 1.26899
2547.012167610706 10.0335 1.31168
2547.402465929102 8.15297 1.23768
2547.792764247499 7.53815 1.19879
2548.183062565895 8.26558 1.23386
2548.573360884291 8.02516 1.22645
2548.963659202687 8.20782 1.2293
2549.353957521083 8.59189 1.25019
2549.744255839479 6.42751 1.15569
2550.134554157875 5.70689 1.11972
2550.524852476271 5.61328 1.11511
2550.915150794668 4.49554 1.06519
2551.305449113064 4.72207 1.07355
2551.695747431461 4.59139 1.06307
2552.086045749856 5.82062 1.12055
2552.476344068252 6.2095 1.1383
2552.866642386649 6.55866 1.16989
2553.256940705045 7.29951 1.19847
2553.647239023441 7.85216 1.2176
2554.037537341837 8.13582 1.22804
2554.427835660233 9.32663 1.26959
2554.818133978629 9.06582 1.2595
2555.208432297025 7.7391 1.21625
2555.598730615422 7.39571 1.20692
2555.989028933818 7.85993 1.22187
2556.379327252214 8.29348 1.23575
2556.769625570611 7.98089 1.22182
2557.159923889006 7.25943 1.19687
2557.550222207403 6.9258 1.18738
2557.940520525798 6.49592 1.17459
2558.330818844195 7.45103 1.20878
2558.721117162591 7.47441 1.20158
2559.111415480987 7.38581 1.20564
2559.501713799383 8.3636 1.24784
2559.892012117779 8.85632 1.26716
2560.282310436176 8.76933 1.27027
2560.672608754572 9.00336 1.27374
2561.062907072968 8.74424 1.26162
2561.453205391364 8.9393 1.27102
2561.84350370976 8.03197 1.23222
2562.233802028157 7.76202 1.21989
2562.624100346553 7.7094 1.21908
2563.014398664949 7.59284 1.22338
2563.404696983345 7.28773 1.20336
2563.794995301741 6.52609 1.16392
2564.185293620137 6.66873 1.17121
2564.575591938533 6.60763 1.16723
2564.96589025693 5.85336 1.13962
2565.356188575326 6.23109 1.1613
2565.746486893722 4.55345 1.07138
2566.136785212118 5.3946 1.10346
2566.527083530514 6.7786 1.17468
2566.91738184891 6.86845 1.17942
2567.307680167306 9.46261 1.28942
2567.697978485702 8.31867 1.24003
2568.088276804098 7.48002 1.20549
2568.478575122494 6.77466 1.18197
2568.86887344089 6.51422 1.17217
2569.259171759287 6.75502 1.18221
2569.649470077683 7.56726 1.2199
2570.039768396079 8.14022 1.24574
2570.430066714475 6.71802 1.18268
2570.820365032872 7.23467 1.20769
2571.210663351268 7.79114 1.23493
2571.600961669663 6.50086 1.1812
2571.99125998806 6.70334 1.18478
2572.381558306456 6.6393 1.18425
2572.771856624853 7.50873 1.20871
2573.162154943248 8.35729 1.2504
2573.552453261644 7.87528 1.24119
2573.942751580041 8.75346 1.27456
2574.333049898437 7.39944 1.21566
2574.723348216833 7.56194 1.22213
2575.11364653523 7.08604 1.19525
2575.503944853625 5.93647 1.14563
2575.894243172022 6.52939 1.17717
2576.284541490418 4.02903 1.05324
2576.674839808814 3.23679 1.01822
2577.06513812721 3.47328 1.03268
2577.455436445606 4.07308 1.05537
2577.845734764002 5.23961 1.1103
2578.236033082398 5.18843 1.11281
2578.626331400795 5.2004 1.11214
2579.016629719191 6.62313 1.17187
2579.406928037587 6.33525 1.16826
2579.797226355983 9.05941 1.27511
2580.187524674379 7.61183 1.21462
2580.577822992776 7.04495 1.19758
2580.968121311172 7.02525 1.19421
2581.358419629568 6.24373 1.162
2581.748717947964 5.08138 1.11767
2582.13901626636 5.23009 1.12143
2582.529314584757 7.58561 1.21916
2582.919612903153 9.07203 1.28569
2583.309911221549 8.15846 1.24897
2583.700209539945 6.82779 1.1963
2584.090507858341 6.89882 1.20427
2584.480806176738 7.2452 1.21471
2584.871104495133 8.39845 1.25899
2585.261402813529 8.2285 1.25591
2585.651701131925 7.63499 1.22271
2586.041999450322 6.26462 1.15863
2586.432297768718 3.50931 1.0257
2586.822596087114 4.41153 1.07088
2587.21289440551 4.84481 1.09563
2587.603192723906 4.18101 1.06259
2587.993491042303 4.71522 1.09167
2588.383789360699 6.19385 1.15757
2588.774087679095 6.6893 1.17341
2589.164385997491 7.3346 1.20323
2589.554684315887 7.22647 1.20834
2589.944982634284 6.81618 1.18934
2590.33528095268 7.77385 1.22544
2590.725579271076 8.29879 1.24463
2591.115877589472 8.38688 1.24492
2591.506175907868 7.51235 1.20812
