1.14
lambda flux err
2406.013983567917 0 0
2406.404270198629 0 0
2406.794556829341 0 0
2407.184843460054 0 0
2407.575130090765 0 0
2407.965416721478 0 0
2408.35570335219 0 0
2408.745989982902 0 0
2409.136276613614 0 0
2409.526563244326 0 0
2409.916849875038 0 0
2410.30713650575 0 0
2410.697423136463 0 0
2411.087709767175 0 0
2411.477996397887 0 0
2411.868283028599 0 0
2412.258569659311 0 0
2412.648856290023 0 0
2413.039142920735 0 0
2413.429429551447 0 0
2413.81971618216 0 0
2414.210002812872 0 0
2414.600289443584 0 0
2414.990576074296 0 0
2415.380862705008 0 0
2415.77114933572 0 0
2416.161435966432 0 0
2416.551722597145 0 0
2416.942009227857 0 0
2417.332295858569 0 0
2417.722582489281 0 0
2418.112869119993 0 0
2418.503155750705 0 0
2418.893442381417 0 0
2419.283729012129 0 0
2419.674015642842 0 0
2420.064302273553 0 0
2420.454588904266 0 0
2420.844875534978 0 0
2421.23516216569 0 0
2421.625448796402 0 0
2422.015735427114 0 0
2422.406022057826 0 0
2422.796308688539 0 0
2423.18659531925 0 0
2423.576881949963 0 0
2423.967168580675 0 0
2424.357455211387 0 0
2424.747741842099 0 0
2425.138028472811 0 0
2425.528315103523 0 0
2425.918601734235 0 0
2426.308888364948 0 0
2426.69917499566 0 0
2427.089461626372 0 0
2427.479748257084 0 0
2427.870034887796 0 0
2428.260321518509 0 0
2428.65060814922 0 0
2429.040894779933 0 0
2429.431181410645 3.78855 1.65762
2429.821468041356 7.99104 1.65395
2430.211754672069 5.59976 1.55064
2430.602041302781 8.41536 1.70576
2430.992327933493 8.33853 1.74023
2431.382614564205 9.40808 1.78472
2431.772901194917 10.2076 1.89089
2432.16318782563 7.67506 1.71914
2432.553474456342 5.38584 1.57906
2432.943761087054 6.42493 1.67277
2433.334047717766 5.01575 1.55356
2433.724334348478 5.86519 1.63978
2434.11462097919 5.55333 1.2434
2434.504907609902 3.83202 1.15048
2434.895194240614 5.34509 1.23579
2435.285480871326 5.95568 1.28156
2435.675767502038 4.73309 1.21835
2436.066054132751 6.06739 1.2914
2436.456340763463 6.35903 1.32547
2436.846627394175 5.56623 1.28527
2437.236914024887 2.01267 1.09708
2437.6272006556 4.63497 1.25298
2438.017487286312 5.5365 1.3044
2438.407773917024 5.09286 1.28801
2438.798060547736 5.21235 1.3129
2439.188347178448 4.57802 1.27638
2439.57863380916 4.13272 1.27131
2439.968920439872 4.0878 1.27188
2440.359207070585 5.26459 1.32239
2440.749493701297 4.63857 1.28928
2441.139780332009 5.48347 1.33096
2441.530066962721 4.76341 1.30217
2441.920353593433 5.39111 1.35799
2442.310640224145 5.3237 1.35041
2442.700926854857 2.27834 1.1681
