0.19
lambda flux err
2406.01240772697 0 0
2406.402695865563 0 0
2406.792984004157 0 0
2407.183272142751 0 0
2407.573560281344 0 0
2407.963848419938 0 0
2408.354136558531 0 0
2408.744424697125 0 0
2409.134712835718 0 0
2409.525000974312 0 0
2409.915289112906 0 0
2410.3055772515 0 0
2410.695865390093 0 0
2411.086153528687 0 0
2411.47644166728 0 0
2411.866729805874 0 0
2412.257017944468 0 0
2412.647306083062 0 0
2413.037594221655 0 0
2413.427882360249 0 0
2413.818170498842 0 0
2414.208458637436 0 0
2414.59874677603 0 0
2414.989034914624 0 0
2415.379323053217 0 0
2415.769611191811 0 0
2416.159899330405 0 0
2416.550187468998 0 0
2416.940475607592 0 0
2417.330763746185 0 0
2417.721051884779 0 0
2418.111340023373 0 0
2418.501628161967 0 0
2418.89191630056 0 0
2419.282204439154 0 0
2419.672492577748 0 0
2420.062780716341 0 0
2420.453068854935 0 0
2420.843356993529 0 0
2421.233645132122 0 0
2421.623933270715 0 0
2422.014221409309 0 0
2422.404509547904 0 0
2422.794797686497 0 0
2423.18508582509 0 0
2423.575373963684 0 0
2423.965662102278 0 0
2424.355950240871 0 0
2424.746238379465 0 0
2425.136526518059 0 0
2425.526814656652 0 0
2425.917102795246 0 0
2426.30739093384 0 0
2426.697679072434 0 0
2427.087967211027 0 0
2427.478255349621 0 0
2427.868543488215 0 0
2428.258831626808 0 0
2428.649119765402 0 0
2429.039407903995 0 0
2429.429696042589 0 0
2429.819984181182 0 0
2430.210272319776 0 0
2430.60056045837 0 0
2430.990848596964 0 0
2431.381136735558 0 0
2431.771424874151 0 0
2432.161713012745 0 0
2432.552001151339 0 0
2432.942289289932 0 0
2433.332577428526 0 0
2433.722865567119 0 0
2434.113153705713 0 0
2434.503441844307 0 0
2434.8937299829 0 0
2435.284018121494 0 0
2435.674306260088 0 0
2436.064594398681 0 0
2436.454882537275 0 0
2436.845170675868 0 0
2437.235458814462 0 0
2437.625746953056 0 0
2438.016035091649 0 0
2438.406323230243 0 0
2438.796611368837 0 0
2439.186899507431 0 0
2439.577187646024 0 0
2439.967475784618 0 0
2440.357763923212 0 0
2440.748052061805 0 0
2441.138340200399 3.8411 1.60978
2441.528628338992 7.55565 2.11355
2441.918916477586 9.41546 2.48205
2442.309204616179 7.87846 2.32229
2442.699492754774 9.00057 2.45573
2443.089780893367 11.1417 2.6497
2443.480069031961 13.6882 2.86526
2443.870357170555 11.4276 2.71495
2444.260645309148 9.02767 2.48063
2444.650933447742 8.43523 2.47551
2445.041221586335 7.36821 2.38526
2445.431509724929 5.68713 2.21978
2445.821797863522 6.38929 2.31581
2446.212086002117 8.63792 2.53753
2446.60237414071 9.40549 2.59907
2446.992662279304 10.8533 2.73009
2447.382950417897 10.1644 2.69143
2447.773238556491 11.5237 2.79303
2448.163526695085 10.194 2.66734
2448.553814833678 3.36739 2.10079
2448.944102972272 4.83898 2.24767
2449.334391110866 9.45049 2.67027
2449.724679249459 10.2169 2.72694
2450.114967388053 9.44152 2.67608
2450.505255526647 8.20039 2.58935
2450.895543665241 6.53061 2.46607
2451.285831803834 4.45071 2.30044
2451.676119942428 6.91415 2.511
2452.066408081021 9.22615 2.67673
2452.456696219615 8.75078 2.63242
2452.846984358209 7.02212 2.50467
2453.237272496802 7.01215 2.47402
2453.627560635396 6.84494 2.48826
2454.017848773989 5.48423 2.41082
2454.408136912583 5.82224 2.38485
2454.798425051177 6.25959 2.41921
2455.188713189771 5.69166 2.33112
2455.579001328364 5.84181 2.3727
2455.969289466958 8.31188 2.61048
2456.359577605552 8.78615 2.62404
2456.749865744145 5.49308 2.35559
2457.140153882739 7.43137 2.50483
2457.530442021333 6.89498 2.46674
2457.920730159926 6.32736 2.39598
2458.31101829852 7.30033 2.51175
2458.701306437114 7.57311 2.50423
2459.091594575707 8.23634 2.52343
2459.481882714301 7.77922 2.53654
2459.872170852895 8.28499 2.59523
2460.262458991488 8.02833 2.54223
2460.652747130082 5.7002 1.6807
2461.043035268676 5.63301 1.19609
2461.433323407269 8.51075 1.41984
2461.823611545863 10.1401 1.51515
2462.213899684456 10.0182 1.50474
2462.60418782305 10.3724 1.53818
2462.994475961644 8.79182 1.43385
2463.384764100238 9.71387 1.51465
2463.775052238831 8.34487 1.43279
2464.165340377425 9.26625 1.49922
2464.555628516018 8.26643 1.31028
2464.945916654612 7.88039 1.26492
2465.336204793206 8.65567 1.31239
2465.7264929318 9.26784 1.34593
2466.116781070393 9.56232 1.35627
2466.507069208987 8.46923 1.32223
2466.89735734758 7.65984 1.28837
2467.287645486174 7.309 1.26928
2467.677933624768 7.03217 1.25412
2468.068221763361 7.83942 1.29201
2468.458509901955 7.85805 1.2899
2468.848798040549 6.5934 1.24358
2469.239086179143 6.93545 1.25657
2469.629374317736 5.97441 1.22322
2470.01966245633 6.05389 1.22408
2470.409950594923 7.38398 1.29494
2470.800238733517 8.17997 1.33511
2471.190526872111 7.40297 1.30507
2471.580815010704 6.6563 1.26929
2471.971103149298 6.55678 1.26435
2472.361391287892 6.73879 1.27397
2472.751679426485 6.95664 1.27813
2473.141967565079 6.38993 1.239
2473.532255703673 6.17754 1.2565
2473.922543842266 6.94174 1.28142
2474.31283198086 7.75531 1.30905
2474.703120119454 7.35634 1.27983
2475.093408258048 7.14392 1.26899
2475.483696396641 7.39054 1.29774
2475.873984535235 7.89657 1.3115
2476.264272673828 6.53647 1.25099
2476.654560812422 5.17031 1.18691
2477.044848951015 6.57067 1.2499
2477.435137089609 8.68717 1.32596
2477.825425228203 7.1471 1.27885
2478.215713366797 7.22571 1.27314
2478.60600150539 6.83114 1.24338
2478.996289643984 5.58228 1.20242
2479.386577782578 5.03895 1.18753
2479.776865921171 4.83408 1.1617
2480.167154059765 6.27019 1.2221
2480.557442198358 8.26702 1.1787
2480.947730336952 7.09258 1.08824
2481.338018475546 8.0407 1.08841
2481.728306614139 8.00746 1.01572
2482.118594752733 7.88051 1.02744
2482.508882891326 8.6117 1.04881
2482.899171029921 8.24576 1.04184
2483.289459168514 8.06453 1.04412
2483.679747307108 8.81962 1.0676
2484.070035445702 7.86446 1.04538
2484.460323584295 8.23117 1.04033
2484.850611722889 6.03488 0.970529
2485.240899861482 6.57909 0.992221
2485.631188000076 7.21483 1.00402
2486.02147613867 7.37583 1.02309
2486.411764277263 6.28305 0.988004
2486.802052415857 6.76662 1.008
2487.192340554451 7.89494 1.04316
2487.582628693045 7.25657 1.02016
2487.972916831638 6.9892 1.00258
2488.363204970232 7.03442 1.01359
2488.753493108825 6.91618 1.00222
2489.143781247419 6.69044 1.00465
2489.534069386013 6.70923 1.00588
2489.924357524607 6.38269 0.994786
2490.3146456632 6.27869 1.00056
2490.704933801793 6.09079 0.994806
2491.095221940388 7.47443 1.03884
2491.485510078981 6.79822 1.01156
2491.875798217575 6.15479 0.98901
2492.266086356168 5.9205 0.981821
2492.656374494762 6.59833 1.00072
2493.046662633355 6.46244 1.00354
2493.436950771949 6.4689 0.997072
2493.827238910543 6.36303 0.990417
2494.217527049137 6.33087 0.992019
2494.607815187731 7.88669 1.04201
2494.998103326324 7.6479 1.02856
2495.388391464918 5.58771 0.956548
2495.778679603511 5.39658 0.952078
2496.168967742105 5.64701 0.963837
2496.559255880698 5.48752 0.948641
2496.949544019292 5.49237 0.950758
2497.339832157886 5.01598 0.92813
2497.73012029648 5.65111 0.959394
2498.120408435073 7.0976 1.00267
2498.510696573667 6.18812 0.97749
2498.900984712261 5.66146 0.957439
2499.291272850854 5.91226 0.960875
2499.681560989448 6.55004 0.978981
2500.071849128042 6.17519 0.974964
2500.462137266635 5.88479 0.967765
2500.852425405229 6.29677 0.902328
2501.242713543822 5.78694 0.87491
2501.633001682416 7.31167 0.931531
2502.02328982101 7.11946 0.919278
2502.413577959604 5.39668 0.861154
2502.803866098197 6.90551 0.916092
2503.194154236791 7.05281 0.922256
2503.584442375385 6.1691 0.896498
2503.974730513978 6.52425 0.900664
2504.365018652572 5.92514 0.881539
2504.755306791165 5.62944 0.871089
2505.14559492976 6.47065 0.89174
2505.535883068352 6.08778 0.890448
2505.926171206946 5.6596 0.878688
2506.31645934554 6.70953 0.906969
2506.706747484134 6.26139 0.892964
2507.097035622727 6.50974 0.901298
2507.487323761321 6.52703 0.902211
2507.877611899915 6.24474 0.890517
