1.13
lambda flux err
2405.729255229777 0 0
2406.119519779115 0 0
2406.509784328454 0 0
2406.900048877791 0 0
2407.290313427129 0 0
2407.680577976467 0 0
2408.070842525805 0 0
2408.461107075143 0 0
2408.851371624481 0 0
2409.241636173819 0 0
2409.631900723158 0 0
2410.022165272495 0 0
2410.412429821833 0 0
2410.802694371172 0 0
2411.192958920509 0 0
2411.583223469847 0 0
2411.973488019185 0 0
2412.363752568523 0 0
2412.754017117861 0 0
2413.144281667199 0 0
2413.534546216537 0 0
2413.924810765875 0 0
2414.315075315213 0 0
2414.705339864551 0 0
2415.09560441389 0 0
2415.485868963228 0 0
2415.876133512565 0 0
2416.266398061903 0 0
2416.656662611241 0 0
2417.046927160579 0 0
2417.437191709917 0 0
2417.827456259255 0 0
2418.217720808593 0 0
2418.607985357931 0 0
2418.998249907269 0 0
2419.388514456607 0 0
2419.778779005945 0 0
2420.169043555283 0 0
2420.559308104621 0 0
2420.949572653959 0 0
2421.339837203297 0 0
2421.730101752636 0 0
2422.120366301973 0 0
2422.510630851311 0 0
2422.90089540065 0 0
2423.291159949987 0 0
2423.681424499325 0 0
2424.071689048663 0 0
2424.461953598001 0 0
2424.852218147339 0 0
2425.242482696677 0 0
2425.632747246015 0 0
2426.023011795354 0 0
2426.413276344692 0 0
2426.803540894029 0 0
2427.193805443367 0 0
2427.584069992705 0 0
2427.974334542044 0 0
2428.364599091382 0 0
2428.754863640719 0 0
2429.145128190057 0 0
2429.535392739395 0 0
2429.925657288733 0 0
2430.315921838071 7.31553 2.0152
2430.706186387409 6.21354 2.10394
2431.096450936747 6.27642 2.2673
2431.486715486086 6.18853 2.22149
2431.876980035423 6.80553 2.33452
2432.267244584761 8.15262 2.4409
2432.657509134099 9.91465 2.62923
2433.047773683437 9.07001 2.58105
2433.438038232775 8.29821 2.50618
2433.828302782113 6.53602 2.37373
2434.218567331451 6.60801 2.36124
2434.60883188079 6.94796 2.41979
2434.999096430127 4.79202 1.8906
2435.389360979465 2.95605 1.22842
2435.779625528803 5.42073 1.48863
2436.169890078141 3.69665 1.38787
2436.560154627479 3.07144 1.34069
2436.950419176818 5.07054 1.50154
2437.340683726156 7.57528 1.6378
2437.730948275493 6.05705 1.58052
2438.121212824831 3.9545 1.43126
2438.51147737417 3.80027 1.43291
2438.901741923508 5.14046 1.52636
2439.292006472845 5.31946 1.53516
2439.682271022183 2.77559 1.39543
2440.072535571521 3.30874 1.44628
2440.46280012086 3.83077 1.50092
2440.853064670197 2.94413 1.44261
2441.243329219535 1.47678 1.34301
2441.633593768873 2.97274 1.43842
2442.023858318211 3.17335 1.45438
2442.414122867549 4.23767 1.53387
2442.804387416888 2.78005 1.45718
2443.194651966225 2.94086 1.48913
2443.584916515564 3.93666 1.52994
2443.975181064901 4.87996 1.58079
2444.365445614239 2.13207 1.40239
2444.755710163578 3.28166 1.50802
2445.145974712915 3.26095 1.50891
2445.536239262253 0.609013 1.34745
2445.926503811591 1.78593 1.38847
2446.316768360929 2.97385 1.46666
2446.707032910268 0.075441 1.28181
2447.097297459605 2.30127 1.42417
2447.487562008943 1.56721 1.38366
2447.877826558282 -0.254504 1.28022
2448.268091107619 -0.62975 1.23228
2448.658355656957 -0.480378 1.23921
2449.048620206296 1.23076 1.35687
2449.438884755633 2.82135 1.45361
2449.829149304971 0.724789 1.34599
2450.21941385431 1.22369 1.1032
2450.609678403647 4.11175 1.15335
2450.999942952986 5.64713 1.13487
2451.390207502323 5.33104 1.1177
