1.09
lambda flux err
2406.024145005605 0 0
2406.414442350107 0 0
2406.804739694609 0 0
2407.19503703911 0 0
2407.585334383612 0 0
2407.975631728113 0 0
2408.365929072615 0 0
2408.756226417116 0 0
2409.146523761618 0 0
2409.53682110612 0 0
2409.927118450621 0 0
2410.317415795122 0 0
2410.707713139624 0 0
2411.098010484126 0 0
2411.488307828627 0 0
2411.878605173128 0 0
2412.268902517631 0 0
2412.659199862132 0 0
2413.049497206634 0 0
2413.439794551135 0 0
2413.830091895637 0 0
2414.220389240138 0 0
2414.61068658464 0 0
2415.000983929141 0 0
2415.391281273643 0 0
2415.781578618144 0 0
2416.171875962646 0 0
2416.562173307148 0 0
2416.952470651649 0 0
2417.342767996151 0 0
2417.733065340652 0 0
2418.123362685153 0 0
2418.513660029655 0 0
2418.903957374156 0 0
2419.294254718659 0 0
2419.684552063159 0 0
2420.074849407661 0 0
2420.465146752164 0 0
2420.855444096664 4.38904 1.52178
2421.245741441166 7.7885 1.92303
2421.636038785668 6.75535 1.82735
2422.026336130169 8.32474 2.01069
2422.416633474671 8.40122 1.9966
2422.806930819172 7.75594 1.96838
2423.197228163674 8.64976 2.07042
2423.587525508175 10.2229 2.18135
2423.977822852677 9.94021 2.1788
2424.368120197179 9.3944 2.11249
2424.75841754168 8.9092 2.10652
2425.148714886181 8.39623 2.07459
2425.539012230683 8.45959 2.09513
2425.929309575185 6.28589 1.90006
2426.319606919686 6.76197 1.96368
2426.709904264188 7.80518 2.05481
2427.100201608689 6.8696 1.97275
2427.49049895319 5.40209 1.85169
2427.880796297692 5.68505 1.89092
2428.271093642194 5.61148 1.90399
2428.661390986696 5.7968 1.9071
2429.051688331197 6.36052 1.96447
2429.441985675699 6.41043 1.97951
2429.8322830202 7.81581 2.10534
2430.222580364702 6.95371 2.02811
2430.612877709203 3.0153 1.68516
2431.003175053705 6.53334 1.99254
2431.393472398206 8.56264 2.16726
2431.783769742708 5.51086 1.90332
2432.174067087209 6.27089 1.95658
2432.564364431711 4.79424 1.79714
2432.954661776213 6.55553 1.98471
2433.344959120714 7.65814 2.11713
2433.735256465216 6.80459 2.02057
2434.125553809717 7.80867 2.07745
2434.515851154219 5.86649 1.87783
2434.90614849872 5.9379 1.90627
