1.10
lambda flux err
2495.555 4.41393 0.598159
2495.945 3.85256 0.589473
2496.336 4.49345 0.603091
2496.726 4.43819 0.601788
2497.116 3.81416 0.58349
2497.506 3.99192 0.587126
2497.897 4.51686 0.604334
2498.287 3.70188 0.580168
2498.677 3.77011 0.583973
2499.067 3.80641 0.583971
2499.458 4.08282 0.590069
2499.848 4.24669 0.594326
2500.238 4.16275 0.590326
2500.628 3.42345 0.570902
2501.019 4.11508 0.587516
2501.409 3.89129 0.580545
2501.799 3.99965 0.584675
2502.19 4.46495 0.597668
2502.58 3.82459 0.577999
2502.97 4.77405 0.603134
2503.36 4.88851 0.604635
2503.751 5.535 0.620913
2504.141 5.0758 0.608709
2504.531 4.87228 0.606602
2504.921 4.54141 0.594018
2505.312 3.99093 0.579218
2505.702 4.05762 0.58365
2506.092 3.98961 0.581636
2506.482 4.44309 0.593127
2506.873 4.48636 0.591627
2507.263 4.96889 0.603651
2507.653 5.10048 0.610501
2508.043 4.96383 0.604113
2508.434 5.04369 0.604089
2508.824 4.03649 0.583615
2509.214 4.30442 0.588782
2509.604 4.75093 0.598115
2509.995 4.7887 0.604104
2510.385 5.16404 0.611605
2510.775 5.44695 0.616707
2511.166 4.58693 0.597801
2511.556 4.37313 0.591427
2511.946 4.44562 0.591156
2512.336 4.10991 0.582353
2512.727 4.71839 0.60012
2513.117 4.86179 0.601412
2513.507 4.9643 0.60654
2513.897 5.35901 0.615433
2514.288 5.37886 0.614866
2514.678 4.57682 0.5941
2515.068 3.98272 0.578419
2515.458 4.6803 0.599483
2515.849 3.99169 0.580378
2516.239 3.42916 0.564996
2516.629 3.96511 0.580202
2517.02 3.34848 0.561587
2517.41 3.75514 0.573878
2517.8 4.01301 0.580775
2518.19 4.69732 0.597777
2518.581 4.83006 0.60296
2518.971 4.80376 0.599534
2519.361 4.83036 0.599845
2519.751 4.82437 0.599518
2520.142 5.15204 0.610682
2520.532 5.24661 0.611708
2520.922 4.85398 0.600255
2521.312 4.79012 0.599336
2521.703 4.74753 0.599516
2522.093 3.98478 0.576795
2522.483 4.81355 0.598453
2522.874 5.06583 0.606402
2523.264 4.95803 0.601017
2523.654 4.78836 0.601074
2524.044 5.1433 0.607853
2524.435 5.12395 0.60671
2524.825 4.6296 0.593468
2525.215 4.28138 0.586358
2525.605 5.12194 0.606548
2525.996 5.43938 0.613521
2526.386 4.55549 0.592988
2526.776 3.37968 0.562574
2527.167 2.98754 0.554087
2527.557 3.08006 0.554432
2527.947 3.45753 0.565264
2528.337 4.08471 0.582563
2528.728 5.0041 0.605461
2529.118 4.83946 0.599698
2529.508 5.34214 0.612406
2529.898 6.88603 0.649813
2530.289 6.83696 0.648117
2530.679 5.85496 0.624809
2531.069 6.15775 0.633381
2531.459 6.41984 0.640318
2531.85 6.29798 0.635316
2532.24 6.9724 0.650861
2532.63 7.45899 0.66697
2533.02 6.36554 0.637768
2533.411 6.64908 0.643473
2533.801 7.05054 0.654974
2534.191 7.23628 0.658525
2534.581 7.23763 0.658302
2534.972 6.43298 0.643331
2535.362 6.10232 0.634927
2535.752 6.52288 0.641744
2536.142 6.53654 0.641988
2536.533 5.32376 0.614076
2536.923 3.91102 0.577985
2537.313 3.76162 0.574171
2537.703 2.78767 0.549845
2538.094 2.37594 0.53953
2538.484 3.05711 0.555499
2538.874 3.79654 0.576244
2539.265 3.52251 0.567623
