1.30
lambda flux err
2539.570063565034 2.19391 1.11514
2539.960362290535 1.27042 1.0487
2540.350661016036 2.65914 1.13999
2540.740959741537 2.70471 1.1486
2541.131258467037 2.62865 1.14552
2541.521557192538 2.92563 1.16109
2541.911855918039 2.10568 1.09942
2542.30215464354 2.09518 1.10091
2542.692453369041 2.65157 1.15002
2543.082752094542 2.17628 1.1246
2543.473050820043 1.80808 1.08327
2543.863349545543 2.16422 1.10763
2544.253648271044 2.61031 1.13572
2544.643946996544 2.80511 1.13387
2545.034245722045 2.27205 1.11097
2545.424544447547 1.25697 1.05367
2545.814843173047 1.61472 1.0706
2546.205141898548 2.1887 1.11133
2546.595440624048 1.22834 1.04008
2546.985739349549 1.95741 1.09637
2547.37603807505 2.19202 1.1184
2547.766336800551 3.05138 1.17144
2548.156635526052 4.12715 1.25483
2548.546934251553 3.99996 1.21983
2548.937232977054 4.55396 1.24535
2549.327531702554 2.86268 1.15254
2549.717830428055 2.45185 1.13725
2550.108129153556 1.07534 1.03521
2550.498427879057 2.88119 1.16177
2550.888726604557 3.36738 1.17869
2551.279025330058 1.94932 1.09133
2551.669324055559 1.6662 1.0672
2552.059622781059 0.955408 1.01652
2552.449921506561 0.760289 1.00922
2552.840220232061 2.51958 1.12804
2553.230518957562 3.54246 1.21575
2553.620817683063 2.15398 1.10694
2554.011116408564 1.4525 1.0581
2554.401415134064 2.41584 1.12962
2554.791713859566 2.02956 1.09377
2555.182012585066 1.8873 1.10093
2555.572311310567 3.32829 1.18731
2555.962610036068 3.01585 1.16327
2556.352908761569 1.31356 1.0503
2556.743207487069 2.88193 1.15307
2557.13350621257 4.49899 1.25093
2557.523804938071 3.81431 1.21669
2557.914103663571 1.95671 1.08959
2558.304402389072 2.50378 1.13347
2558.694701114573 3.38704 1.19231
2559.084999840074 3.55398 1.19987
2559.475298565576 2.7338 1.15383
2559.865597291076 2.88151 1.16255
2560.255896016577 2.38297 1.12926
2560.646194742077 3.11814 1.17507
2561.036493467578 3.71651 1.20934
2561.426792193079 3.01553 1.17754
2561.81709091858 1.73846 1.08976
2562.207389644081 1.67675 1.08157
2562.597688369581 3.45065 1.19747
2562.987987095082 3.12926 1.15611
2563.378285820582 1.17539 1.04495
2563.768584546084 2.0523 1.11475
2564.158883271585 1.94112 1.11984
2564.549181997085 1.86698 1.10876
2564.939480722586 2.64419 1.15467
2565.329779448087 2.16986 1.11714
2565.720078173587 3.25452 1.19495
2566.110376899088 2.8988 1.17087
2566.50067562459 3.50799 1.20314
2566.89097435009 4.23142 1.25024
2567.281273075591 3.34904 1.19429
2567.671571801092 2.43686 1.1322
2568.061870526592 2.47787 1.14081
2568.452169252093 3.07427 1.18511
2568.842467977593 2.78455 1.14837
2569.232766703095 1.56543 1.09375
2569.623065428596 1.30212 1.08243
2570.013364154097 3.07321 1.16867
2570.403662879597 2.49104 1.14541
2570.793961605098 3.27224 1.19495
2571.184260330598 1.61003 1.07499
2571.574559056099 2.74569 1.15197
2571.9648577816 3.8635 1.23937
2572.355156507101 1.5834 1.07551
2572.745455232602 0.594273 1.01045
2573.135753958103 3.09199 1.18152
2573.526052683604 4.21694 1.25118
2573.916351409104 3.97391 1.24048
2574.306650134605 2.0532 1.12063
2574.696948860106 2.82192 1.18502
2575.087247585607 3.21722 1.19891
2575.477546311107 2.26241 1.13149
2575.867845036609 3.37573 1.18837
2576.25814376211 3.0918 1.18081
2576.64844248761 3.24586 1.18903
2577.038741213111 1.79816 1.09419
2577.429039938611 2.37705 1.14581
2577.819338664112 3.07385 1.17868
2578.209637389613 3.25883 1.19525
2578.599936115114 3.51887 1.21213
2578.990234840615 3.6566 1.2215
2579.380533566115 3.03704 1.18723
2579.770832291616 3.38115 1.2033
2580.161131017117 2.69832 1.15651
2580.551429742618 0.729334 1.02078
2580.941728468118 2.58343 1.1496
2581.33202719362 3.58268 1.21434
2581.72232591912 2.03367 1.12093
2582.112624644621 2.20331 1.13772
2582.502923370122 4.01457 1.25392
2582.893222095622 2.80783 1.18735
2583.283520821124 4.0173 1.26044
2583.673819546624 2.93063 1.17976
2584.064118272125 3.36334 1.20277
2584.454416997626 3.33297 1.198
2584.844715723126 1.76907 1.11094
2585.235014448627 2.24917 1.14108
2585.625313174128 1.79217 1.12036
2586.015611899629 2.09172 1.13232
2586.40591062513 2.59974 1.15413
2586.79620935063 2.47081 1.15814
2587.186508076131 1.69888 1.11356
2587.576806801632 2.66698 1.16022
2587.967105527133 1.79503 1.09057
2588.357404252634 1.80031 1.11791
2588.747702978135 1.43864 1.08121
