0.82
lambda flux err
2406.060871069523 0 0
2406.451170151852 0 0
2406.841469234181 0 0
2407.231768316512 0 0
2407.622067398841 0 0
2408.012366481171 0 0
2408.402665563501 0 0
2408.79296464583 0 0
2409.18326372816 0 0
2409.573562810489 0 0
2409.963861892819 0 0
2410.354160975149 0 0
2410.744460057478 0 0
2411.134759139808 0 0
2411.525058222138 0 0
2411.915357304468 0 0
2412.305656386797 0 0
2412.695955469127 0 0
2413.086254551457 0 0
2413.476553633786 0 0
2413.866852716116 0 0
2414.257151798446 0 0
2414.647450880776 0 0
2415.037749963105 0 0
2415.428049045435 0 0
2415.818348127764 0 0
2416.208647210094 0 0
2416.598946292424 0 0
2416.989245374754 0 0
2417.379544457083 0 0
2417.769843539413 0 0
2418.160142621743 0 0
2418.550441704072 0 0
2418.940740786402 0 0
2419.331039868731 0 0
2419.721338951061 0 0
2420.111638033391 0 0
2420.501937115721 0 0
2420.892236198051 0 0
2421.28253528038 0 0
2421.67283436271 0 0
2422.063133445039 0 0
2422.453432527369 0 0
2422.843731609699 0 0
2423.234030692028 0 0
2423.624329774358 0 0
2424.014628856688 0 0
2424.404927939018 0 0
2424.795227021347 0 0
2425.185526103676 0 0
2425.575825186006 0 0
2425.966124268336 0 0
2426.356423350666 0 0
2426.746722432996 0 0
2427.137021515325 0 0
2427.527320597655 0 0
2427.917619679985 0 0
2428.307918762314 0 0
2428.698217844643 0 0
2429.088516926973 0 0
2429.478816009303 0 0
2429.869115091633 0 0
2430.259414173963 0 0
2430.649713256292 0 0
2431.040012338622 0 0
2431.430311420952 0 0
2431.820610503281 0 0
2432.210909585611 0 0
2432.601208667941 0 0
2432.99150775027 0 0
2433.3818068326 0 0
2433.77210591493 0 0
2434.162404997259 0 0
2434.55270407959 0 0
2434.943003161919 9.02806 2.02203
2435.333302244248 9.40523 2.13049
2435.723601326578 6.4543 1.82656
2436.113900408908 7.71812 2.00446
2436.504199491237 8.52896 2.03948
2436.894498573567 9.64628 2.17181
2437.284797655897 8.4222 2.05508
2437.675096738226 13.3678 2.40945
2438.065395820556 9.617 2.18591
2438.455694902886 5.50874 1.8449
2438.845993985216 11.0545 2.28876
2439.236293067545 10.391 2.25008
2439.626592149874 10.4907 2.28481
2440.016891232204 10.5079 2.25354
2440.407190314534 11.3457 2.33775
2440.797489396864 9.53939 2.21585
2441.187788479193 10.2969 2.27981
2441.578087561523 10.0699 2.28385
2441.968386643853 4.63379 1.81618
2442.358685726183 4.84318 1.85633
2442.748984808512 7.40166 2.06015
2443.139283890842 6.41795 2.01478
2443.529582973172 6.15098 2.00416
2443.919882055501 6.99068 2.09928
2444.310181137831 5.6543 1.97444
2444.700480220161 5.6221 1.98246
2445.090779302491 1.70124 1.58175
2445.48107838482 5.62157 1.93349
2445.87137746715 4.04587 1.80521
2446.261676549479 6.77481 2.09239
2446.651975631809 4.9887 1.90704
2447.042274714139 4.20467 1.80963
2447.432573796468 4.72807 1.85059
2447.822872878798 5.86746 1.95094
2448.213171961128 7.39429 2.12023
2448.603471043457 8.03564 2.13876
2448.993770125788 5.12195 1.9197
2449.384069208117 7.40014 2.0524
2449.774368290446 7.44261 2.07649
2450.164667372776 4.09297 1.75955
2450.554966455106 6.31831 1.41925
2450.945265537436 6.31639 1.43392
2451.335564619765 7.4437 1.47573
2451.725863702095 8.2272 1.56233
2452.116162784424 8.92439 1.58784
2452.506461866754 8.1421 1.54848
2452.896760949084 7.09277 1.49194
2453.287060031413 6.65562 1.45953
2453.677359113743 8.20725 1.55766
2454.067658196073 8.88365 1.60897
2454.457957278403 6.1109 1.44258
2454.848256360732 8.78671 1.59773
2455.238555443062 9.00908 1.62227
2455.628854525391 9.06925 1.29402
2456.019153607721 9.50444 1.29667
2456.409452690051 7.40738 1.20911
2456.799751772381 8.36402 1.26743
2457.19005085471 8.09887 1.24621
2457.58034993704 8.50286 1.26859
2457.97064901937 7.68443 1.2374
2458.360948101699 6.17291 1.15343
2458.751247184029 6.50354 1.19136
2459.141546266358 7.00266 1.21663
2459.531845348689 6.75859 1.21282
2459.922144431018 7.01747 1.21909
2460.312443513348 6.6582 1.20498
2460.702742595678 5.37615 1.13914
2461.093041678007 6.75948 1.20871
2461.483340760337 6.73121 1.20209
2461.873639842666 6.27873 1.19851
2462.263938924996 6.09544 1.18298
2462.654238007326 6.35604 1.18869
2463.044537089655 7.45863 1.24389
2463.434836171985 7.18695 1.22635
2463.825135254315 5.87729 1.17577
2464.215434336645 6.66213 1.21101
2464.605733418974 6.45037 1.19958
2464.996032501304 6.13834 1.18199
2465.386331583633 5.76139 1.17315
2465.776630665963 6.01419 1.17548
2466.166929748293 4.6164 1.10754
2466.557228830623 6.31295 1.19583
2466.947527912952 5.67185 1.16134
2467.337826995282 5.73999 1.16866
2467.728126077612 7.04652 1.22156
2468.118425159941 6.77941 1.19864
2468.508724242271 5.20915 1.13624
2468.899023324601 7.04663 1.22352
2469.28932240693 6.59589 1.19301
2469.67962148926 5.85106 1.15836
2470.06992057159 4.90564 1.10668
2470.46021965392 6.41348 1.18053
2470.850518736249 6.32735 1.17436
2471.240817818579 5.19453 0.976117
2471.631116900908 6.51107 1.04002
2472.021415983238 6.8023 1.04243
2472.411715065568 5.8132 1.00977
2472.802014147897 5.51839 0.988252
2473.192313230228 5.41549 0.993931
2473.582612312557 5.56666 1.00383
2473.972911394887 8.01244 1.09199
2474.363210477217 6.20975 1.02731
2474.753509559546 5.15511 0.981148
2475.143808641875 6.58704 1.03889
2475.534107724205 7.19429 1.06595
2475.924406806535 6.84606 1.05589
2476.314705888864 6.02709 1.00723
2476.705004971195 6.04543 1.01627
2477.095304053524 6.02154 1.02171
2477.485603135853 7.66169 1.09258
2477.875902218183 7.3618 1.06753
2478.266201300513 6.42092 1.03379
2478.656500382843 5.77733 1.01069
2479.046799465172 6.81719 1.05166
2479.437098547502 6.3822 1.03931
2479.827397629832 6.75597 1.05418
2480.217696712161 7.16359 1.06735
2480.607995794491 6.20276 1.03452
2480.99829487682 5.9906 1.02168
2481.388593959151 6.98037 1.05925
2481.77889304148 7.40488 1.07808
2482.16919212381 7.5831 1.082
2482.559491206139 5.12538 0.988931
2482.949790288469 6.76442 1.05981
2483.340089370799 6.5473 1.04707
2483.730388453128 7.01734 1.05682
2484.120687535458 6.81437 1.04559
2484.510986617788 6.56218 1.04636
2484.901285700118 6.38587 1.03076
2485.291584782447 5.60306 1.00389
2485.681883864777 6.76242 1.04686
2486.072182947107 6.0039 1.01455
2486.462482029436 6.68447 1.03275
2486.852781111766 7.60349 1.07613
2487.243080194095 7.45694 1.07272
2487.633379276425 7.09272 1.04886
2488.023678358755 5.97323 1.0028
2488.413977441085 6.55115 1.03111
2488.804276523415 6.06195 1.00896
2489.194575605744 5.88309 1.00079
2489.584874688074 6.57924 0.972131
2489.975173770403 7.02954 0.937347
2490.365472852733 6.87756 0.932587
2490.755771935063 7.73741 0.957976
2491.146071017392 6.89821 0.938091
2491.536370099722 6.18835 0.90245
2491.926669182052 5.99041 0.898752
2492.316968264382 6.59766 0.920069
2492.707267346711 6.74102 0.923359
2493.097566429041 7.13017 0.94238
2493.48786551137 6.70691 0.926448
2493.8781645937 7.25931 0.955054
2494.26846367603 7.69933 0.971315
2494.658762758359 7.29608 0.947138
2495.04906184069 6.6919 0.925913
2495.439360923019 7.72378 0.959379
2495.829660005349 6.41247 0.914409
2496.219959087678 6.58651 0.92466
2496.610258170008 6.79881 0.930838
2497.000557252337 7.09569 0.940223
2497.390856334668 6.41407 0.920971
2497.781155416997 8.20215 0.974585
2498.171454499326 7.14822 0.946237
2498.561753581657 7.23212 0.946955
2498.952052663986 7.53383 0.959569
2499.342351746316 7.10377 0.946649
2499.732650828645 7.33055 0.954825
2500.122949910975 7.05356 0.940823
2500.513248993305 7.5423 0.959188
2500.903548075634 7.46334 0.957479
2501.293847157964 5.97127 0.903152
2501.684146240294 7.71841 0.958303
2502.074445322624 7.91335 0.968615
2502.464744404953 7.23664 0.945161
2502.855043487283 6.6933 0.925956
2503.245342569612 7.53481 0.959767
2503.635641651942 6.24865 0.910885
2504.025940734272 7.7111 0.963579
2504.416239816601 6.68751 0.913306
2504.806538898931 7.02884 0.937261
2505.196837981261 7.92304 0.968867
2505.587137063591 6.46123 0.914942
2505.97743614592 6.95182 0.933071
2506.36773522825 7.1465 0.926775
2506.75803431058 6.66861 0.917817
2507.148333392909 7.1062 0.940205
2507.538632475239 6.81826 0.918737
2507.928931557569 7.89645 0.960201
2508.319230639898 7.37141 0.936768
2508.709529722228 6.54628 0.903643
2509.099828804557 6.31544 0.898341
2509.490127886888 6.51863 0.914408
2509.880426969217 5.70954 0.879165
2510.270726051547 5.97971 0.887803
2510.661025133876 7.61921 0.946006
2511.051324216206 7.50115 0.942478
2511.441623298536 6.79497 0.916728
2511.831922380865 6.01946 0.893867
2512.222221463195 6.52365 0.908734
2512.612520545525 7.89517 0.953355
2513.002819627855 7.2541 0.929703
2513.393118710184 7.75146 0.944539
2513.783417792513 6.71706 0.912004
2514.173716874844 6.82948 0.91313
2514.564015957173 7.05669 0.921327
2514.954315039503 6.94186 0.916224
2515.344614121832 7.38659 0.935916
2515.734913204162 7.64404 0.943147
2516.125212286492 7.02226 0.925105
2516.515511368822 7.21396 0.925728
2516.905810451152 8.02383 0.956161
2517.296109533481 8.1092 0.957266
2517.686408615811 7.24487 0.929602
2518.07670769814 6.76579 0.913531
2518.46700678047 7.34818 0.936645
2518.857305862799 8.12029 0.96155
2519.24760494513 7.29417 0.930321
2519.637904027459 6.94773 0.91554
2520.028203109789 8.03158 0.956985
2520.418502192118 6.99141 0.920437
2520.808801274448 7.94745 0.957532
2521.199100356778 7.83747 0.95398
2521.589399439107 7.75494 0.951406
2521.979698521437 8.05563 0.954149
2522.369997603767 7.24524 0.928272
2522.760296686096 7.35027 0.927479
2523.150595768426 6.99074 0.921602
2523.540894850756 6.52776 0.907213
2523.931193933086 7.41123 0.931847
2524.321493015415 6.25612 0.888009
2524.711792097745 7.1474 0.923428
2525.102091180075 7.65164 0.939086
2525.492390262404 7.2596 0.927067
2525.882689344735 7.91027 0.950424
2526.272988427064 6.49337 0.899811
2526.663287509393 6.92116 0.914017
2527.053586591723 7.70447 0.937533
2527.443885674052 7.15822 0.916891
2527.834184756382 7.28951 0.930064
2528.224483838712 9.23239 1.0008
2528.614782921042 8.64867 0.972286
2529.005082003372 7.60228 0.933317
2529.395381085701 7.14232 0.911683
2529.78568016803 6.39038 0.887315
2530.17597925036 7.39817 0.927703
2530.56627833269 6.65949 0.902975
2530.95657741502 7.69964 0.931393
2531.34687649735 7.18489 0.91614
2531.737175579679 7.57196 0.933231
2532.127474662009 6.55728 0.894203
2532.517773744338 8.3042 0.951436
2532.908072826668 8.5384 0.960582
2533.298371908997 8.25763 0.954639
2533.688670991327 7.63312 0.935771
2534.078970073657 8.08264 0.948333
2534.469269155987 7.59668 0.934143
2534.859568238317 6.7408 0.898228
2535.249867320646 8.38854 0.957051
2535.640166402976 8.42012 0.958963
2536.030465485305 8.40649 0.960382
2536.420764567635 8.34903 0.957644
2536.811063649965 8.0306 0.94963
2537.201362732294 7.49516 0.930163
2537.591661814624 8.25511 0.952224
2537.981960896954 8.87439 0.973152
2538.372259979284 8.43649 0.963397
2538.762559061613 8.2472 0.955025
2539.152858143943 8.2612 0.958955
2539.543157226272 8.82395 0.97721
2539.933456308602 7.70104 0.930339
2540.323755390932 7.79786 0.93686
2540.714054473262 8.10914 0.940377
2541.104353555591 8.4184 0.955884
2541.494652637921 8.09823 0.946997
2541.884951720251 8.65931 0.963529
2542.27525080258 8.37017 0.955802
2542.66554988491 7.25352 0.916799
2543.05584896724 6.76026 0.897298
2543.44614804957 7.2158 0.917365
2543.836447131899 7.7011 0.932355
2544.226746214229 8.5523 0.965019
2544.617045296558 8.57801 0.95911
2545.007344378888 8.38138 0.951374
2545.397643461218 9.92742 1.0005
2545.787942543548 8.39632 0.955301
2546.178241625877 8.87112 0.972772
2546.568540708207 8.67937 0.971246
2546.958839790536 8.27646 0.952109
2547.349138872866 7.25136 0.91678
2547.739437955195 8.17987 0.944331
2548.129737037526 7.82147 0.937851
2548.520036119856 7.83767 0.939113
2548.910335202185 7.35295 0.920287
2549.300634284514 8.53558 0.962471
2549.690933366844 8.56325 0.964386
2550.081232449174 8.66011 0.967183
2550.471531531503 8.80113 0.973155
2550.861830613834 9.0741 0.980794
2551.252129696163 8.62371 0.967187
2551.642428778492 8.44462 0.957069
2552.032727860822 8.34987 0.963773
2552.423026943152 8.58483 0.967216
2552.813326025482 8.53928 0.965767
2553.203625107811 8.98716 0.983431
2553.593924190141 7.88586 0.940437
2553.984223272471 8.00604 0.943119
2554.3745223548 7.55847 0.930778
2554.76482143713 7.48515 0.931582
2555.15512051946 8.2868 0.955955
2555.545419601789 8.0053 0.949123
2555.935718684119 8.21762 0.953427
2556.326017766449 6.93252 0.904965
2556.716316848779 7.30198 0.921208
2557.106615931108 8.17325 0.958137
2557.496915013438 8.58828 0.961536
2557.887214095768 7.09465 0.915783
2558.277513178097 6.492 0.893367
2558.667812260427 7.63488 0.930064
2559.058111342757 9.6421 1.00083
2559.448410425086 8.3954 0.963002
2559.838709507416 7.51675 0.933956
2560.229008589746 6.20844 0.888215
2560.619307672075 5.57862 0.862716
2561.009606754405 6.80067 0.910119
2561.399905836735 6.93424 0.911038
2561.790204919064 7.156 0.918354
2562.180504001394 8.10543 0.9569
2562.570803083724 8.39814 0.967049
2562.961102166054 7.11773 0.921893
2563.351401248383 7.01675 0.909497
2563.741700330713 8.27293 0.961338
2564.131999413042 8.01553 0.955267
2564.522298495372 8.1178 0.959342
2564.912597577702 8.34937 0.966509
2565.302896660031 7.1306 0.919802
2565.693195742361 7.86375 0.940881
2566.083494824691 7.02544 0.918532
2566.47379390702 7.23918 0.922659
2566.864092989351 7.40347 0.927314
2567.25439207168 5.89252 0.872076
2567.644691154009 6.56114 0.897386
2568.034990236339 8.11293 0.95743
2568.425289318669 8.58935 0.975005
2568.815588400998 7.13123 0.926624
2569.205887483329 6.68119 0.910469
2569.596186565658 7.15845 0.919586
2569.986485647988 6.06631 0.884418
2570.376784730317 6.57194 0.900979
2570.767083812647 6.62612 0.908922
